City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Sa Kaeo,TH,76.39,clear sky,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
307,Lindi,TZ,68.88,few clouds,-10.0,39.7167,Lindi paradise house
308,Araxa,BR,78.76,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
309,Kologriv,RU,63.88,clear sky,58.8275,44.3178,Postoyalyy Dvor
312,Gimli,CA,64.98,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
313,Shemgang,BT,60.1,broken clouds,27.2169,90.6579,Dzongkhag Guest House
319,Vityazevo,RU,68.43,clear sky,44.9931,37.2719,Altair Guest House
320,Gidam,IN,76.23,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
321,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
323,Majene,ID,76.57,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
324,Saint Anthony,US,76.33,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
325,Petauke,ZM,63.63,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
326,La Libertad,EC,74.86,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
327,Lagoa,PT,72.5,clear sky,39.05,-27.9833,Casa Das Faias
328,Kutum,SD,77.81,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
331,Roebourne,AU,68.45,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
332,Luyang,CN,73.72,broken clouds,27.6239,110.0989,Zhijia Fashion Hotel
333,Zeya,RU,66.69,moderate rain,53.75,127.2667,Kapital Inn
337,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
339,Kosonsoy,UZ,75.76,broken clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
340,Impfondo,CG,73.4,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
341,Goderich,CA,75.52,few clouds,43.7501,-81.7165,Harmony Inn
342,Honiara,SB,76.08,scattered clouds,-9.4333,159.95,Heritage Park Hotel
344,Inhambane,MZ,66.18,few clouds,-23.865,35.3833,Oceano
346,Port-Cartier,CA,68.22,scattered clouds,50.0334,-66.8654,Le Q'Artier
350,Perelyub,RU,73.29,scattered clouds,51.8667,50.3667,
351,Adamovka,RU,60.49,clear sky,51.5223,59.9396,Gostinitsa
352,Shakawe,BW,61.88,clear sky,-18.3667,21.85,Ditlhapi Guest House
353,Karratha,AU,68.79,light rain,-20.7377,116.8463,ibis Styles Karratha
355,Mizan Teferi,ET,62.01,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
358,Cuauhtemoc,MX,78.24,broken clouds,28.4167,-106.8667,Motel Tarahumara Inn
363,Popondetta,PG,72.28,broken clouds,-8.7537,148.2534,Timos Transit House
367,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
369,Yomou,GN,68.95,light rain,7.5603,-9.2653,
